书名,作者,译者,星数,评价人数,引语,出版社,出版时间,价格
红楼梦,[清] 曹雪芹 著 , ,9.6,286891,都云作者痴，谁解其中味？, 人民文学出版社 , 1996-12 , 59.70元
活着,余华 , ,9.4,485750,生的苦难与伟大, 作家出版社 , 2012-8-1 , 20.00元
百年孤独,[哥伦比亚] 加西亚·马尔克斯 , 范晔 ,9.2,290163,魔幻现实主义文学代表作, 南海出版公司 , 2011-6 , 39.50元
1984,[英] 乔治·奥威尔 , 刘绍铭 ,9.3,144686,栗树荫下，我出卖你，你出卖我, 北京十月文艺出版社 , 2010-4-1 , 28.00
飘,[美国] 玛格丽特·米切尔 , 李美华 ,9.3,156165,革命时期的爱情，随风而逝, 译林出版社 , 2000-9 , 40.00元
三体全集,刘慈欣 , ,9.4,45868,地球往事三部曲, 重庆出版社 , 2012-1-1 , 168.00元
三国演义（全二册）,[明] 罗贯中 , ,9.3,120176,是非成败转头空, 人民文学出版社 , 1998-05 , 39.50元
白夜行,[日] 东野圭吾 , 刘姿君 ,9.1,263562,一宗离奇命案牵出跨度近20年步步惊心的故事, 南海出版公司 , 2013-1-1 , 39.50元
福尔摩斯探案全集（上中下）,[英] 阿·柯南道尔 , ,9.2,90740,名侦探的代名词, 1981-8 , 53.00元,68.00元
动物农场,[英] 乔治·奥威尔 , 荣如德 ,9.2,88890,太阳底下并无新事, 上海译文出版社 , 2007-3 , 10.00元
房思琪的初恋乐园,林奕含 , ,9.2,186929,向死而生的文学绝唱, 北京联合出版公司 , 2018-1 , 45.00元
小王子,[法] 圣埃克苏佩里 , 马振聘 ,9.0,569709,献给长成了大人的孩子们, 人民文学出版社 , 2003-8 , 22.00元
天龙八部,金庸 , ,9.1,101431,有情皆孽，无人不冤, 生活.读书.新知三联书店 , 1994-5 , 96.0
撒哈拉的故事,三毛 , ,9.2,75706,游荡的自由灵魂, 哈尔滨出版社 , 2003-8 , 15.80元
安徒生童话故事集,（丹麦）安徒生 , 叶君健 ,9.2,87346,为了争取未来的一代, 人民文学出版社 , 1997-08 , 25.00元
哈利•波特,J.K.罗琳 (J.K.Rowling) , ,9.7,19459,从9¾站台开始的旅程, 人民文学出版社 , 2008-12-1 , 498.00元
人类简史,[以色列] 尤瓦尔·赫拉利 , 林俊宏 ,9.1,129225,跟着人类一同走过十万年, 中信出版社 , 2014-11 , CNY 68.00
沉默的大多数,王小波 , ,9.1,98937,沉默是沉默者的通行证, 中国青年出版社 , 1997-10 , 27.00元
围城,钱锺书 , ,8.9,368959,幽默的语言和对生活深刻的观察, 人民文学出版社 , 1991-2 , 19.00
平凡的世界（全三部）,路遥 , ,9.0,248208,中国当代城乡生活全景, 人民文学出版社 , 2005-1 , 64.00元
霍乱时期的爱情,[哥伦比亚] 加西亚·马尔克斯 , 杨玲 ,9.0,181224,义无反顾地直达爱情的核心, 南海出版公司 , 2012-9-1 , 39.50元
明朝那些事儿（1-9）,当年明月 , ,9.1,84848,不拘一格的历史书写, 中国海关出版社 , 2009-4 , 358.20元
局外人,[法] 阿尔贝·加缪 , 柳鸣九 ,9.0,125943,人生在世，永远也不该演戏作假, 上海译文出版社 , 2010-8 , 22.00元
杀死一只知更鸟,[美] 哈珀·李 , 高红梅 ,9.2,74690,有一种东西不能遵循从众原则，那就是——人的良心, 译林出版社 , 2012-9 , 32.00元
笑傲江湖（全四册）,金庸 , ,9.0,87436,欲练此功，必先自宫, 生活·读书·新知三联书店 , 1994-5 , 76.80元
月亮和六便士,[英] 毛姆 , 傅惟慈 ,9.0,131485,有多少人会经历顿悟，就有更少的人甘愿自我放逐, 上海译文出版社 , 2006-8 , 15.00元
中国历代政治得失,钱穆 , ,9.2,42243,一部简明的“中国政治制度史”, 生活·读书·新知三联书店 , 2001 , 12.00元
肖申克的救赎,[美] 斯蒂芬·金 , 施寄青 ,9.1,84122,豆瓣电影Top1原著, 人民文学出版社 , 2006-7 , 29.90元
基督山伯爵,大仲马 , 周克希 ,9.0,99325,一个报恩复仇的故事，以法国波旁王朝和七月王朝为背景, 上海译文出版社 , 1991-12-1 , 43.90元
东方快车谋杀案,[英] 阿加莎·克里斯蒂 , 陈尧光 ,9.0,94977,谋杀诡计惊人，波洛的抉择耐人寻味, 人民文学出版社 , 2006-5 , 18.00元
追风筝的人,[美] 卡勒德·胡赛尼 , 李继宏 ,8.9,641891,为你，千千万万遍, 上海人民出版社 , 2006-5 , 29.00元
万历十五年,[美] 黄仁宇 , ,8.9,141802,见微知著，历史观的颠覆, 生活·读书·新知三联书店 , 1997-5 , 18.00元
夹边沟记事,杨显惠 , ,9.2,26366,一段尘封四十年的历史, 花城出版社 , 2008-09 , 34.00元
嫌疑人X的献身,[日] 东野圭吾 , 刘子倩 ,8.9,406709,数学好是一种极致的浪漫, 南海出版公司 , 2008-9 , 28.00
江城,[美] 彼得·海斯勒 , 李雪顺 ,9.0,36856,外国人眼中的涪陵, 上海译文出版社 , 2012-1 , 36.00元
寻路中国,[美] 彼得·海斯勒 , 李雪顺 ,9.0,41053,《纽约客》驻北京记者驾车漫游中国大陆的经历, 上海译文出版社 , 2011-1 , 33.00元
